FIPS_CODE,Weekly_Wage,Total_Wages,Establishment_Count,Employment_Level
13067,589.4952739217284,7838872551.0,15888,255723
72135,234.64346642225408,23382065.0,193,1916
28113,359.8779217314787,268013804.0,933,14321
06045,390.29280331838015,637381713.0,3944,31405
28073,350.5484592323192,185447847.0,696,10173
55079,563.9212840984927,15029621417.0,22979,512538
09011,617.9842851796609,3724818499.0,6363,115910
27063,377.6197953635254,67920081.0,263,3458
13241,370.4743665920137,97267304.0,380,5049
36091,493.50268529762934,1346736257.0,4018,52479
29115,351.40015508046775,74020100.0,314,4050
46113,461.1687677304201,35655417.0,46,1486
24011,439.29830574926694,152383357.0,462,6670
21061,324.9686546592122,13989034.0,86,827
29081,273.38309198313084,36668783.0,253,2579
08081,524.6819716542998,104841252.0,371,3842
31053,382.6058594552733,300375698.0,1027,15097
01015,429.2507794817597,1010281916.0,2459,45261
72139,231.28273609708404,66945636.0,355,5566
33011,594.4562039069303,5347766650.0,11107,173001
26073,390.5884219620983,395262854.0,1222,19460
30031,366.95114957879605,483121890.0,2909,25318
21029,377.60816512110745,168593109.0,752,8586
36107,589.1151910599121,361179847.0,745,11790
20111,378.3074368774718,284363486.0,900,14455
13047,388.8188607348998,278837817.0,697,13791
48329,530.6726880540871,1340320362.0,3769,48571
72053,295.38394798702564,129679067.0,423,8442
40055,327.33487762237763,18723555.0,90,1099
28035,434.9588418522227,658258882.0,1791,29103
12093,356.3199981391721,160847123.0,735,8681
50025,464.2896925676165,557310442.0,1862,23083
08121,364.0417732310316,16653819.0,94,879
22079,423.66369252044143,1051446575.0,3068,47726
38037,288.14955775931395,7167240.0,67,478
36121,416.803691357912,228197937.0,810,10528
05019,357.4209837860859,152743500.0,596,8218
51690,384.6698965051998,306586780.0,716,15327
40059,361.585604604872,13987457.0,118,743
01073,562.6164686785089,10747217184.0,18103,367350
20159,338.0432687160821,54732811.0,345,3113
05053,398.07678355501815,62769278.0,234,3032
08029,353.74198575155134,116983418.0,655,6359
40051,392.5897231683816,239237765.0,852,11718
51111,314.18787612230045,34527153.0,234,2113
20037,344.8426082983047,288280834.0,961,16076
13309,357.2817739880938,9162372.0,50,493
22031,471.1285568484448,118173490.0,378,4823
22127,405.191102050713,90237274.0,362,4282
53055,364.03110189767636,74046353.0,710,3911
48191,241.81626645413414,6270457.0,81,498
01119,383.5725386215021,79129864.0,277,3967
21043,284.09505249224446,64530676.0,451,4368
04003,433.73804319308624,646406601.0,2067,28659
39023,499.86725599786286,1395411270.0,2697,53683
20197,286.59418936537594,10844342.0,115,727
27029,421.55062573952455,44889802.0,219,2047
20097,342.98333612205477,15032045.0,90,842
72153,196.33431581846972,42764559.0,475,4188
20015,392.0674768853856,296804751.0,1129,14558
29061,308.1344365693478,28432797.0,200,1774
08005,646.9677041509544,7809910537.0,15293,232145
21141,429.72570265014434,197111742.0,494,8821
29121,308.7339241847695,76915500.0,396,4791
53021,388.56558427167704,354754809.0,1738,17557
20057,418.8592031276625,324481289.0,885,14897
37177,316.27983367983376,5324571.0,55,323
24037,545.298167862693,675579352.0,1509,23825
46019,332.87867441884066,32806192.0,262,1895
31151,407.66027083722105,120876434.0,262,5702
29169,366.98706403711634,183484602.0,673,9614
28051,343.6144707572064,85728947.0,301,4797
48461,611.4518542973477,22225052.0,67,699
54081,443.46348554633465,614642017.0,2054,26653
01093,419.49084512382365,265536027.0,626,12173
30083,382.78157517380174,67980987.0,413,3415
39015,410.01044610472405,134104440.0,495,6289
17201,536.9702019332947,3855948475.0,6652,138094
37103,357.1430286109901,31639539.0,166,1703
45023,437.0318645325259,219134041.0,530,9642
72127,347.8774406505018,5390045534.0,11990,297963
08035,476.60914766073637,665846492.0,2935,26866
48113,661.3582085477701,45650052158.0,63314,1327398
05099,318.45330711792514,24025179.0,192,1450
53077,379.79212468603146,1759435631.0,7470,89089
48173,487.0804679191776,916036.0,8,36
40077,398.3298651307143,56086040.0,152,2707
20079,410.318667463261,282041016.0,761,13218
01095,390.3733342408341,724585869.0,1892,35694
37107,418.3778285606209,607579021.0,1460,27927
47121,367.1157026471065,18084609.0,45,947
35039,365.54563589317877,135480595.0,670,7127
40069,362.681906695584,39298398.0,145,2083
23001,433.17784094858024,947366869.0,2691,42058
08103,484.68365558901013,42873339.0,205,1701
51830,362.7506150110727,271910606.0,726,14415
31127,344.1704498840308,29925047.0,160,1672
36073,449.0688597445852,266155479.0,769,11397
42015,468.88456977363074,517430690.0,1297,21221
51750,471.48288463652233,167290457.0,382,6823
42115,376.1657534992645,149646887.0,737,7650
17111,513.6782536021851,2052872334.0,5860,76854
51033,366.878758492797,60406343.0,369,3166
31129,295.07583729192453,24639816.0,193,1605
48091,383.48989095538843,400002710.0,1554,20058
42093,595.8280942664762,292015349.0,247,9425
47143,479.8776484914591,214112609.0,418,8580
13295,406.6904520218177,289000200.0,775,13665
55053,373.0509029543472,104856153.0,397,5405
26063,435.26338612968993,295865789.0,1058,13071
46053,297.2543214547519,16760784.0,155,1084
31161,272.96048954730657,22466650.0,214,1582
39041,482.3051603676783,630326061.0,1676,25132
28121,456.2909235624526,820741131.0,2152,34590
08049,326.44171810400036,89695738.0,612,5283
72003,245.43824592710317,47772182.0,333,3743
18029,452.3054349778469,261886053.0,890,11134
35047,369.97150609125475,137723743.0,540,7158
29205,334.9360361012137,37036557.0,186,2126
37135,445.17696754997473,775777997.0,2689,33512
17073,362.3124353974402,254828466.0,1125,13525
48035,364.2610588071069,62627161.0,328,3306
40113,476.7420980040523,147365591.0,492,5944
42033,408.19306026571724,632072531.0,1960,29778
37149,343.83906452029413,64797274.0,402,3624
02280,528.8320192551728,63204769.0,286,2298
13179,351.5619276864284,175799831.0,631,9616
40095,350.8256877715564,56870832.0,254,3117
17193,375.7300475893275,77057724.0,454,3943
13133,368.74129556973446,83740042.0,260,4367
31105,316.64032090481925,20418340.0,155,1240
36053,437.3484819857295,442112519.0,1458,19440
21207,304.40127670991933,81684865.0,294,5160
27101,330.951185486354,35110170.0,243,2040
20129,453.3781825351835,18394913.0,91,780
48021,378.5307265220898,167512338.0,619,8510
19113,529.6006444404961,2956997659.0,5539,107374
48351,323.0750511514519,14842714.0,119,883
47007,350.044079025346,18704372.0,94,1027
31005,378.9807692307693,39414.0,1,2
20203,407.4507567903794,9170630.0,69,432
47067,336.5954994390797,5100656.0,31,291
19019,382.08696779515486,105607819.0,527,5315
36031,412.512842438462,271760298.0,1260,12669
21225,510.7426176058509,143020361.0,293,5385
72099,223.69808925049307,36292778.0,316,3119
53041,449.2634157591401,563632104.0,2446,24126
49039,297.59265743391643,74112773.0,436,4789
13031,369.14808101261343,333985988.0,1139,17399
39161,444.00329226981626,270399041.0,627,11711
02013,519.3363964894166,5029773.0,30,186
16047,333.87930892981007,69158981.0,391,3983
18061,380.28690611300806,158491033.0,618,8014
30035,373.12787295678544,60408532.0,306,3113
47017,343.51596902277083,160528791.0,495,8986
19173,292.63110546170253,23788958.0,153,1563
51093,543.2876033813951,296917541.0,499,10510
10001,460.96711714736574,1098318692.0,2489,45820
30059,245.92591198033182,3701103.0,56,289
48315,342.47598668768023,27235517.0,170,1529
17173,372.73393061174085,96561943.0,411,4982
19035,380.5897953510041,101305138.0,417,5118
48487,342.4523441055986,67713102.0,324,3802
39143,466.1034685631533,647265302.0,1385,26705
17039,552.5225200450317,192879534.0,341,6713
37181,375.05730344278015,339501371.0,917,17407
48339,489.8376595682951,1463256119.0,4008,57446
16065,347.3952087044451,147954693.0,558,8190
18043,437.5816402998336,509374639.0,1324,22385
30057,342.34581425768465,27219231.0,289,1528
19099,498.0833738778727,344316901.0,884,13293
47185,384.7076776110114,118666802.0,338,5931
19191,388.6280704717318,181020753.0,585,8957
16087,320.9232563383287,44121706.0,275,2643
48319,308.518628781577,9395832.0,96,585
16027,416.2268596088283,874515802.0,2812,40404
19135,436.1937339303995,55814914.0,172,2460
48451,411.3159280149343,891765563.0,2526,41693
26129,340.97607426678746,83180886.0,520,4691
30017,353.7090125286272,70890714.0,429,3854
19051,350.41744499550646,35091971.0,175,1925
37063,688.3757723260871,4864837630.0,5241,135906
48059,354.90553179148844,24476060.0,179,1326
12001,431.8216218844039,1776505516.0,5000,79114
48335,374.90981781376524,30867575.0,160,1583
31045,299.18860766546305,39379404.0,301,2531
06091,436.8950772274216,11484224.0,66,505
51079,341.65860420408274,22511316.0,187,1267
08031,648.0560453244595,13192619487.0,22064,391485
21033,353.9396304447927,55855685.0,301,3034
