FIPS_CODE,Weekly_Wage,Total_Wages,Establishment_Count,Employment_Level
13067,440.76863195507912,103319841431.0,79,1306
C3654,41.35771130625686,59420160994.0,58,1069
72135,67.119140625,190410654.0,3,25
39057,214.53772919605078,16309193684.0,15,333
28113,144.4845945945946,2026848158.0,7,100
30001,90.020098730606492,437375254.0,4,30
06045,194.93453188602442,6231004260.0,22,173
28073,132.50974770642202,1823928234.0,7,97
C4222,392.60748861047836,53595124079.0,76,858
C4526,385.5,78262902.0,305,3906
37145,160.31180811808119,1995690384.0,7,95
09011,315.7410514541387,32762843176.0,30,494
27063,88.38545296167247,564777960.0,3,44
13241,99.302201704545453,757681088.0,4,48
18015,133.64521193092622,792486137.0,4,54
29115,95.415000000000006,538056658.0,3,39
CS388,552.5,5044583894.0,9614,175621
46113,130.54123711340208,507299488.0,1,63
24011,113.17189421894219,1199956013.0,5,62
25019,184.14149560117303,1120034608.0,7,47
21061,75.13066666666667,173608706.0,2,21
29081,91.122504537205089,324015999.0,3,32
08081,116.03983160621762,777687377.0,3,35
31053,145.75685602350637,2829121404.0,7,114
01015,204.5431338028169,9155539260.0,14,247
19167,138.38937371663243,2659271222.0,8,119
26073,153.06132497761863,3704964859.0,9,137
30031,229.29586857514639,6185639699.0,21,169
C3638,478.5,229824867.0,757,9241
21029,127.06526548672566,1688517440.0,7,79
36107,127.98687089715536,3170533272.0,6,100
20111,144.53984450923227,2634279240.0,6,110
13047,125.42355821545158,2518293099.0,6,106
22000,421.51991735537189,483500390735.0,344,5476
72053,105.21923676012462,1021832540.0,5,97
C1446,155.1433459178858,777480177984.0,474,7622
C4630,431.5,835200555.0,3140,37225
28035,211.49614065180103,6027842263.0,12,202
12093,135.40780542986425,1466274200.0,6,69
21225,99.259433962264154,876327468.0,3,50
26119,91.739651416122001,254670878.0,3,28
08121,74.689560439560438,115800593.0,1,14
53075,131.35691489361702,1612697624.0,11,73
C4546,46.386499626028424,8487447464.0,14,241
C4794,76.054225352112681,11873685641.0,18,298
55101,257.88108371187542,20231595670.0,22,398
20137,73.375725338491293,261644129.0,2,24
51690,125.55670103092784,1707094960.0,5,85
22051,341.25888510223956,51317618939.0,59,852
01073,400.62347783731127,112435666255.0,79,1556
20159,102.90268456375838,412783184.0,3,34
05053,86.048300536672627,434850862.0,3,35
46099,317.97026699029124,25303293230.0,29,530
20189,91.209976798143856,228728498.0,2,22
51111,95.759615384615387,354480896.0,3,29
51169,125.09472049689441,552010384.0,3,38
C2710,215.27147701582516,12470007675.0,19,306
C2002,82.694660950896335,7230276110.0,16,218
C1542,430.5,368115981.0,1274,16427
C4074,457.25,498263056.0,1638,20962
39015,108.27304737516005,957589278.0,5,55
40039,146.83386752136752,1383389432.0,6,68
CS164,492.0,1485388462.0,3960,58067
16043,123.26132075471698,378982241.0,4,33
C2014,483.0,558078383.0,1232,22220
53055,136.47288503253796,853694879.0,7,40
39113,372.07714561234332,86105936835.0,55,1209
53000,543.98230897009967,890491267724.0,658,8043
01119,96.391084558823536,480829607.0,3,40
C1786,134.50429687499999,10182396499.0,20,302
21043,117.56726618705036,684201906.0,5,50
04003,205.81050228310502,6916386143.0,13,195
CS350,620.25,20306299721.0,34769,629649
39023,216.35013764624915,11990197803.0,15,288
C1474,227.24821556031407,11750421779.0,36,315
C3038,507.0,417635239.0,994,15840
27029,89.337668593448939,402367862.0,3,31
20097,88.393044619422568,133689405.0,1,17
C4086,535.75,813120063.0,2518,29190
26013,92.032524271844665,348627643.0,3,28
20015,146.49091332712021,2588230750.0,8,103
29061,94.23788546255507,203044275.0,3,22
51079,100.91996233521657,383153791.0,3,31
C1214,616.0,671982581.0,927,20992
21141,119.09077017114915,1513538664.0,4,66
29121,96.41935483870968,615090308.0,3,39
C2134,294.62623906705539,43001963330.0,62,1020
54003,184.09680851063831,5326836795.0,10,157
C1076,470.25,428075289.0,1030,17517
22107,77.708124999999995,157238495.0,2,18
24037,176.75486561631141,10693487861.0,12,250
20043,89.178111587982826,384131543.0,2,32
CS122,763.25,91566081712.0,123733,2307464
56043,125.4210709318498,531404666.0,3,29
C2534,673.25,589043457.0,696,16823
05109,96.266898608349905,337469107.0,3,33
29169,131.60957792207793,1979153315.0,5,90
28051,139.33243534482759,483657226.0,4,50
48461,90.749163879598669,218637182.0,1,22
54081,207.84347300564062,5987696198.0,13,180
C4306,437.25,442706814.0,1244,19468
C3542,475.25,897100462.0,2351,36290
30083,102.18613138686132,558373878.0,4,36
C1426,77.898766124509251,31302566828.0,42,579
21125,171.53539426523298,3736097986.0,8,133
C3510,535.0,1214125056.0,2693,43642
17011,131.23004561003421,2019389179.0,7,89
51073,127.9560773480663,1165224846.0,7,60
C3770,102.92231255645889,8197809840.0,14,245
48113,618.21033703247019,615255162831.0,251,5622
C1726,458.25,243324353.0,717,10202
05099,62.917355371900825,258318332.0,2,24
56005,198.88119533527697,5772147667.0,10,149
48173,94.137987012987011,32284718.0,2,9
72999,169.64951768488746,1433434912.0,6,53
C3810,401.25,190029459.0,732,9102
48449,154.01927570093457,2383381853.0,5,109
33011,433.58285714285716,63269482257.0,54,837
31147,94.059352517985616,314851436.0,3,29
C1058,67.159460976979219,71096736565.0,74,1178
01095,185.11334405144694,6338327456.0,12,214
55139,228.07953042328043,22698498961.0,19,435
35039,118.60914760914761,1581418458.0,5,71
C1418,525.25,558125524.0,1219,20428
53017,108.83748551564311,1198486843.0,9,66
48473,123.47613365155131,1408969695.0,4,63
C4046,473.25,402875983.0,995,16385
51830,174.31927710843374,2722431173.0,6,137
31127,99.030181086519121,578122684.0,2,37
36073,107.36894923258559,2132399665.0,6,98
C3738,474.75,310744963.0,1112,12577
42015,140.64462809917356,4426530218.0,10,151
51750,98.049270072992698,1004112983.0,3,49
42115,147.95059880239521,1422305658.0,8,76
C3714,560.5,1398807546.0,2970,47987
17111,325.6387403446227,23376207350.0,34,430
C3006,430.0,301533149.0,849,13485
31129,93.033132530120483,181148691.0,3,24
18047,99.484974958263777,550840693.0,3,42
42093,99.844077961019494,2009209092.0,3,94
47143,128.49787234042554,1650864601.0,4,82
13295,134.17515923566879,2390204149.0,6,106
55053,104.59127625201938,987285675.0,4,68
C3694,568.0,582985773.0,967,19736
26063,118.78947368421052,2185570707.0,8,90
15000,455.50383574007219,156404495013.0,141,2254
46053,89.173444976076553,168432715.0,2,22
C1746,124.33495145631068,245486119820.0,211,3424
31161,89.381006864988564,201121165.0,3,27
39999,430.20909358446147,25430191093.0,43,345
39041,219.8318784916201,9650979303.0,13,195
30095,65.250865051903119,528409788.0,2,27
48353,111.06994459833795,805469127.0,4,46
CS566,547.0,7993508093.0,16896,281165
28121,224.84519374068554,9455701535.0,15,249
08049,143.13621794871796,1102186456.0,7,63
72003,73.047178130511469,324550367.0,5,43
C1518,204.83093525179856,15386992446.0,32,495
18029,143.31398488120951,2423199262.0,7,97
35047,106.32425458715596,945997759.0,4,51
C4378,161.74407730673317,24598891149.0,30,509
C3970,415.5,74592266.0,325,3456
C1390,103.79498407643312,7257394448.0,17,225
USNMS,543.0,570068229579.0,1677340,20189235
17013,75.455047318611989,104181128.0,1,17
