year,fips,population
1990.0,1001.0,34353.0
1991.0,1001.0,35016.0
1992.0,1001.0,35998.0
1993.0,1001.0,36972.0
1994.0,1001.0,38209.0
1995.0,1001.0,39147.0
1996.0,1001.0,40242.0
1997.0,1001.0,41281.0
1998.0,1001.0,42183.0
1999.0,1001.0,43127.0
1990.0,1003.0,98915.0
1991.0,1003.0,102222.0
1992.0,1003.0,106222.0
1993.0,1003.0,110867.0
1994.0,1003.0,115828.0
1995.0,1003.0,119954.0
1996.0,1003.0,124252.0
1997.0,1003.0,128762.0
1998.0,1003.0,132853.0
1999.0,1003.0,135809.0
1990.0,1005.0,25451.0
1991.0,1005.0,26226.0
1992.0,1005.0,26433.0
1993.0,1005.0,26635.0
1994.0,1005.0,26787.0
1995.0,1005.0,26664.0
1996.0,1005.0,26863.0
1997.0,1005.0,26745.0
1998.0,1005.0,26934.0
1999.0,1005.0,26722.0
1990.0,1007.0,16675.0
1991.0,1007.0,16956.0
1992.0,1007.0,17191.0
1993.0,1007.0,17447.0
1994.0,1007.0,17643.0
1995.0,1007.0,17988.0
1996.0,1007.0,18256.0
1997.0,1007.0,18639.0
1998.0,1007.0,18987.0
1999.0,1007.0,19601.0
1990.0,1009.0,39410.0
1991.0,1009.0,39868.0
1992.0,1009.0,40230.0
1993.0,1009.0,40992.0
1994.0,1009.0,41362.0
1995.0,1009.0,42586.0
1996.0,1009.0,43544.0
1997.0,1009.0,44897.0
1998.0,1009.0,46291.0
1999.0,1009.0,47411.0
1990.0,1011.0,11022.0
1991.0,1011.0,11139.0
1992.0,1011.0,11032.0
1993.0,1011.0,11081.0
1994.0,1011.0,11186.0
1995.0,1011.0,11206.0
1996.0,1011.0,11306.0
1997.0,1011.0,11309.0
1998.0,1011.0,11323.0
1999.0,1011.0,11342.0
1990.0,1013.0,21884.0
1991.0,1013.0,21742.0
1992.0,1013.0,21772.0
1993.0,1013.0,21781.0
1994.0,1013.0,21811.0
1995.0,1013.0,21773.0
1996.0,1013.0,21801.0
1997.0,1013.0,21769.0
1998.0,1013.0,21658.0
1999.0,1013.0,21522.0
1990.0,1015.0,116051.0
