FIPS_CODE,Weekly_Wage,Total_Wages,Establishment_Count,Employment_Level
36063,344.17405871091256,20937404406.0,27,359
40015,191.07559681697612,1568616522.0,6,60
27025,176.96611001964638,3419117436.0,10,98
CS277,706.25,3899599058.0,6207,106151
48061,308.99297591743118,31378303665.0,32,605
19189,172.38822115384616,893759307.0,5,45
40017,302.82025117739403,8575433053.0,18,174
CS348,1004.75,368515643749.0,648669,7050809
17169,124.3921568627451,371081958.0,3,22
51081,81.181186868686865,632790552.0,3,50
06029,470.314556331007,108808030862.0,75,1292
31017,122.2277918781726,199036224.0,3,18
42065,217.46051332675222,3729544194.0,10,106
19023,159.88651877133105,805924248.0,6,42
C1194,716.5,611716551.0,852,16414
49051,170.62837108953613,1391108995.0,8,47
C2754,739.75,1168038242.0,1483,30354
C3254,741.5,635862351.0,1035,16493
02198,205.47195121951219,581489171.0,5,35
01001,205.44548022598869,2134697146.0,8,75
C4500,797.0,419295708.0,696,10110
C2338,709.0,939800290.0,1424,25488
48307,149.24018771331058,816425691.0,4,34
C2270,765.75,726896265.0,1230,18251
30037,97.327868852459019,12761178.0,2,4
C3586,664.75,247117604.0,401,7144
08089,189.05032258064517,1213457808.0,5,50
C4206,526.1448254745867,60550101442.0,76,NA
30061,109.18593749999999,187987908.0,3,21
28137,145.36541471048514,1010391927.0,5,51
18051,216.34891435464414,5749664078.0,7,156
C1130,228.00326370757179,8169992621.0,17,NA
C3858,725.25,645720172.0,1118,17117
48383,136.55245231607628,646742164.0,3,31
16077,147.52272727272728,697800642.0,4,39
40007,99.655797101449281,361937919.0,3,21
12057,594.21255555555558,237157949745.0,156,2211
34007,539.61962788259962,78674772451.0,55,850
CS357,879.75,20706475465.0,22688,452533
39091,178.34764474975466,4904850150.0,7,120
06001,797.83085250338297,370414261919.0,222,2643
19143,138.54392624728851,443258728.0,4,28
C4266,577.6878425510713,800510318503.0,578,6511
30005,207.83638443935928,315478353.0,4,22
CS540,769.75,4403338350.0,6656,110012
C2510,705.5,368840699.0,586,10055
18111,126.2901878914405,640909536.0,5,40
30105,199.56772575250835,642412741.0,4,33
06083,542.9570372259052,67461434025.0,65,755
31077,193.46702127659574,100252771.0,4,14
12017,264.24437984496126,7713051853.0,21,177
19043,182.44013605442177,1378183218.0,7,58
35017,164.6061422413793,2032543689.0,7,60
C3354,364.16723227752641,13501540133.0,30,298
17003,125.08125,239804338.0,3,20
48477,203.46943648519579,3388400114.0,8,90
