FIPS_CODE,Weekly_Wage,Total_Wages,Establishment_Count,Employment_Level
13067,804.955245844696,12439765490.0,19463,297192
72135,274.5928892903554,34654721.0,300,2426
28113,440.93099235481884,329032260.0,995,14350
06045,511.4611751870809,883234802.0,4149,33209
28073,453.44766191764734,306774272.0,914,13010
55079,728.8143596391564,18768578254.0,22445,495234
09011,801.7703812070366,4435006761.0,6478,106375
27063,443.2514400028098,100962631.0,294,4380
13241,471.5217978170792,135190329.0,507,5513
36091,603.6467972128834,2147307277.0,4638,68408
29115,448.6082377682123,100118293.0,347,4291
46113,592.0444927483649,59830635.0,64,1943
24011,515.228475238576,204460005.0,660,7631
21061,394.713688350155,21144286.0,102,1030
29081,366.6478759598525,48925737.0,285,2566
08081,626.5543977658847,120779847.0,443,3707
31053,493.0471462085375,411086933.0,1065,16033
01015,550.5035389885337,1328741584.0,2548,46417
72139,246.5931422429633,133527474.0,540,10413
33011,802.2750362679741,7952412236.0,12037,190621
26073,495.56350213303364,510889299.0,1345,19825
30031,495.7637694280261,873788436.0,4366,33894
21029,491.6364274849443,253401214.0,940,9912
36107,694.9457784114283,474113785.0,848,13119
20111,467.33186712699364,407485504.0,921,16768
13047,514.4357692036782,379779120.0,873,14196
48329,633.9490169940168,1770360108.0,3992,53703
72053,348.66253042471783,170799430.0,495,9420
40055,445.8998788442608,27480215.0,96,1185
28035,517.8439706102864,863375360.0,1859,32062
12093,479.1246252773661,218589271.0,773,8773
50025,613.1785738149213,724973087.0,1906,22736
08121,455.70795158386846,22614659.0,100,954
22079,540.8100777038558,1450649303.0,3336,51583
38037,363.2319329079892,9052103.0,68,479
36121,512.4198955678178,327213069.0,871,12280
05019,457.28665029171725,221732352.0,620,9324
51690,443.80797069063743,274739916.0,675,11904
40059,475.57478687168987,24154919.0,114,976
01073,729.165705602953,14004423382.0,18121,369347
20159,439.53679747456147,74397903.0,329,3255
05053,482.53513229367434,71599528.0,286,2853
08029,468.1044918603451,185840760.0,815,7634
40051,488.0011286503385,308860469.0,933,12171
51111,478.99283527649334,51477839.0,223,2066
20037,446.8503289069604,388013844.0,1163,16698
13309,485.5425648954834,16329282.0,78,646
22031,575.9179065209596,151041382.0,416,5043
22127,490.75194583411707,108722004.0,347,4260
53055,468.7441880282705,117347920.0,862,4814
48191,346.2164044826377,15457293.0,134,858
01119,449.88134217521275,70577235.0,275,3016
21043,395.43365471318566,108318373.0,488,5267
04003,576.0404549124348,990085469.0,2209,33053
39023,567.5398064593069,1508605369.0,2716,51118
20197,375.8123351376078,24647652.0,140,1261
27029,473.85616590788567,57488388.0,228,2333
20097,421.7834809680055,25109333.0,105,1144
72153,258.60324823556516,65856248.0,506,4897
20015,465.5255303754825,385191031.0,1263,15912
29061,382.06893250701006,35654036.0,218,1794
08005,914.4729694845958,12721289871.0,18729,267520
21141,585.4767949948971,232517035.0,557,7637
29121,417.65931955169856,96108839.0,437,4425
53021,503.00485091898224,562913064.0,2464,21521
20057,506.08913418750643,412004465.0,846,15655
37177,459.90766904376306,17133247.0,85,716
24037,819.6381237658467,1507159598.0,1816,35361
46019,393.8805876289925,42800115.0,297,2089
31151,556.033795077536,178971339.0,289,6189
29169,486.98742341656464,296802277.0,782,11720
28051,451.47207876608064,82553325.0,300,3516
48461,594.9907295725372,31406189.0,83,1015
54081,538.0719802834352,827661782.0,2120,29580
01093,478.9461351380314,263690021.0,595,10587
30083,474.96469785032207,88120992.0,449,3567
39015,471.53251298718016,171008496.0,548,6974
17201,641.867813118961,4487980187.0,6544,134462
37103,491.7746977188048,32293533.0,169,1262
45023,556.9959351555939,269213588.0,595,9294
72127,473.26983761071295,7689199276.0,13290,312441
08035,700.1992237877553,2147291857.0,6920,58974
48113,891.6216682919726,66535370517.0,67946,1435055
05099,384.67011017891434,31712845.0,154,1585
53077,491.3646044023733,2357591285.0,9363,92270
48173,508.3822843822843,1526672.0,11,57
72999,654.8929745303054,96833785.0,582,2843
40077,600.7620842525695,76609982.0,150,2452
20079,506.96133670325474,348011214.0,787,13201
01095,475.98945815997416,860123264.0,1921,34750
37107,521.9672103824643,675413391.0,1430,24884
47121,539.9403775249737,34267856.0,82,1220
35039,455.8068875951334,269428059.0,751,11367
40069,412.0065353209405,57285114.0,180,2673
23001,568.8243226499424,1395614647.0,2868,47182
08103,625.9574003588427,80473918.0,259,2472
51830,495.2834930033374,394150566.0,706,15304
31127,481.04210261990437,59385770.0,213,2374
36073,540.3099864427895,341815046.0,749,12165
42015,571.8135945326758,677392113.0,1421,22781
51750,609.0465644847202,151579915.0,348,4786
42115,448.3353174328518,194329150.0,913,8335
47999,683.7949755128028,1128106944.0,2425,31726
17111,652.5901314187175,3126971104.0,7198,92146
51033,525.2623448817615,98961877.0,390,3623
31129,361.65023274248233,28591103.0,178,1520
48091,552.1389243500065,785000755.0,2119,27341
42093,714.8852970360173,431562671.0,358,11609
47143,575.0456813923812,317675361.0,453,10623
13295,514.2141570287856,361914208.0,807,13534
55053,543.8008327103836,177498767.0,433,6277
26063,524.1305408056743,344257500.0,1069,12631
46053,371.0603950103951,28556808.0,200,1479
31161,347.75639006047044,29655158.0,222,1639
39041,728.3780782676897,1858034693.0,2898,49056
28121,568.472120382106,1314303942.0,2855,44461
08049,458.696950351831,159990897.0,874,6707
72003,290.3882674887403,66817082.0,444,4424
18029,572.619755229542,427723098.0,952,14364
35047,437.4210924920324,196951034.0,599,8658
29205,381.57268877911076,35324982.0,197,1780
36999,1180.321525056649,7445640507.0,16562,121310
37135,622.2155581279081,1197245192.0,3333,37003
17073,475.37474994137875,334506158.0,1087,13532
48035,466.31321951857666,85547958.0,350,3528
40113,421.92747226323,121656739.0,533,5544
42033,498.1466972395613,813600584.0,2111,31408
37149,453.76659713112116,91432003.0,455,3874
02280,590.8453067510908,69052091.0,287,2247
13179,537.3784805308834,332741710.0,759,11907
40095,449.73501156693527,88713679.0,243,3793
17193,466.9310991817375,116467091.0,405,4796
13133,493.786417887111,123165640.0,374,4796
31105,407.97761930883155,32228872.0,144,1519
36053,553.4326471800543,576905755.0,1523,20046
21207,390.9411684593867,95684936.0,340,4706
27101,433.87747937134424,60679501.0,306,2689
08014,971.734446557479,1235193681.0,1378,24444
20129,484.9302492379416,27044560.0,100,1072
48021,502.02638576431167,291884165.0,854,11181
19113,692.7939514273904,4121481791.0,5893,114405
48351,442.07695950458407,36407248.0,154,1583
47007,469.69194380871204,32699640.0,116,1338
31005,211.86028257456826,89970.0,4,8
20203,401.4827933882614,13140398.0,82,629
47067,357.25594018221295,11737763.0,48,631
19019,469.4534813013074,147197765.0,564,6029
36031,511.8966717164894,356143919.0,1265,13379
21225,523.2815248267243,138162021.0,323,5077
06999,1015.9816397745486,10315886756.0,28005,195261
72099,278.32819333147967,44041540.0,367,3043
53041,550.4411273317091,685392962.0,2908,23945
49039,372.836689506293,109843157.0,554,5665
13031,479.5518927263477,538136030.0,1394,21580
39161,522.9528316939814,294968407.0,621,10847
02013,498.45292123858223,14460950.0,60,557
16047,435.3885508839653,121583559.0,462,5370
18061,511.6932572593834,314161239.0,647,11807
30035,494.6485629854716,90724812.0,312,3527
47017,475.2367330601064,188777337.0,481,7639
19173,409.87666803297367,35998648.0,150,1689
51093,682.5331446990102,388282413.0,570,10940
10001,576.8519274873986,1448513839.0,2854,48289
30059,333.4867223838556,5998648.0,72,345
48315,420.3218132288523,33327877.0,170,1524
17173,443.73481230002176,124952617.0,497,5415
19035,477.77832354864523,130048393.0,422,5234
48487,472.5969812244448,126139600.0,361,5132
39143,563.1290953976885,771906955.0,1469,26360
17039,688.5614205914006,170188054.0,347,4753
37181,491.19380751382914,405938117.0,929,15892
48339,648.2314192386096,2877115517.0,6061,85353
16065,421.8036223371693,243929316.0,663,11121
18043,570.6522355844425,766801197.0,1709,25840
30057,409.16665613214496,38840554.0,409,1825
19099,627.7661606238005,455705291.0,920,13959
47185,488.8479176528405,162135700.0,389,6378
19191,510.8539509166747,263319669.0,625,9912
16087,398.0684287177627,57125606.0,274,2759
48319,402.14301520481973,15507573.0,125,741
16027,501.57683651026514,1205175113.0,3735,46207
19135,592.1040097817096,82323181.0,219,2673
48451,524.1354850290447,1170897184.0,2551,42960
26129,424.04328619835564,126518827.0,572,5737
30017,438.2120007028325,90614500.0,477,3976
19051,448.7240241162494,46268682.0,199,1982
37063,954.6573396510371,7650108405.0,6092,154104
48059,468.46604547301416,45734310.0,196,1877
12001,564.3773381703218,2761518257.0,5650,94096
48335,461.75260584716005,42217579.0,194,1758
31045,374.0618739093022,56945060.0,331,2927
06091,491.7586564379017,19764600.0,113,772
51079,509.33215496696994,59984727.0,291,2264
08031,887.4841199014124,18343273785.0,24124,397477
21033,478.7843805074438,99340258.0,315,3990
39089,604.8849530415896,1581822543.0,2985,50290
47029,479.68199338113,169004438.0,451,6775
37045,551.9142736695301,941313894.0,2044,32798
28103,412.6641461840446,69691959.0,218,3247
28003,504.3693216558414,335185862.0,789,12780
12023,516.1216005769012,447083971.0,1255,16658
18125,707.1924137006665,96730957.0,184,2630
06059,831.4561710767807,61345045829.0,86903,1418851
48159,473.7086779622164,49598246.0,186,2013
30077,369.82865538555063,15815969.0,139,822
37003,483.9522708505368,241263919.0,592,9587
19017,528.6420324395704,243400184.0,664,8854
48399,440.9149345563923,71876042.0,305,3134
20137,415.9334956183055,42716370.0,196,1974
47041,495.97274856810157,122096918.0,290,4734
18141,632.9365161407976,3928783375.0,5931,119369
16009,523.2352396414527,91528494.0,328,3363
12065,458.9470762348475,56904695.0,283,2384
31023,430.362506515458,47612869.0,207,2127
08095,423.628196137663,31412878.0,148,1426
40017,538.6791934160843,582714781.0,1721,20802
19077,450.0564582476345,70021584.0,339,2992
26043,586.1580142827695,420901313.0,969,13809
05057,451.51727243249724,208408483.0,499,8876
41043,589.4679229679232,1178934667.0,2763,38461
22001,460.35852139337146,290216150.0,1102,12123
48397,557.0466897788259,369401613.0,1153,12752
23999,924.8976712936741,377194543.0,3383,7842
51141,439.17988697791435,104968092.0,345,4596
20175,505.3336733489498,195518820.0,583,7440
38057,728.5857319072712,160266032.0,285,4230
48185,585.8503639145869,150843580.0,382,4951
27099,572.4544034292328,456196356.0,942,15325
46099,603.7182905675936,3379797716.0,5854,107659
39009,456.8403608074083,377214761.0,1204,15878
12083,535.4129021614751,2395171581.0,6048,86028
38077,522.3750749836761,196804113.0,566,7245
36119,961.9225772803081,20020369551.0,34430,400247
12129,490.5368424063849,85738482.0,301,3361
01023,760.2041019114515,155305897.0,318,3928
25019,707.7883462664378,198020069.0,860,5380
09005,691.1857646677822,2211810805.0,5869,61538
21011,435.2351108004769,35287412.0,160,1559
26163,863.9307367660947,36132970596.0,35394,804306
24021,691.5840462727009,2863980245.0,5216,79638
46103,519.7255284128082,1329010418.0,3542,49175
21093,576.089637171461,1201484290.0,2161,40107
29037,493.4268728992176,515116109.0,1846,20076
26023,572.2184416539742,426285191.0,874,14326
34013,948.1059826628388,17359341433.0,21030,352105
48239,453.529020851458,80802998.0,295,3426
48499,461.09337857296,202168851.0,793,8431
28061,446.9930437386162,89575171.0,241,3853
21073,663.7849110369222,1042649442.0,1286,30207
01083,749.2946710315995,760960190.0,1104,19530
27075,483.50246777727847,84215654.0,286,3349
01129,802.5859394661555,156264285.0,236,3744
35033,401.7694721596397,11650779.0,74,557
46121,506.1053089730246,50582189.0,68,1922
29097,518.8131421317142,1502290207.0,3388,55685
04013,715.6257384090109,58074870454.0,80216,1560626
27019,711.9614960625468,1133456229.0,2000,30615
01005,463.9582286392104,266755258.0,620,11056
29011,444.6501976503418,120470412.0,337,5210
05061,434.126241738882,179394421.0,363,7946
22049,528.3882245810872,79495480.0,293,2893
21173,472.14206200428697,234064742.0,604,9533
28029,440.30603640085457,171505659.0,453,7490
23013,542.1697252614231,494922706.0,1657,17554
29057,420.1308745738137,37090414.0,139,1697
32031,690.603114679978,6530295631.0,11795,181844
48145,457.6671056096919,90363624.0,300,3796
05005,475.2376676032963,336005704.0,1160,13596
46045,408.84535691889624,20863106.0,141,981
44001,521.5742112318487,301800746.0,1191,11127
29151,443.6794336961754,70052250.0,278,3036
22065,417.0128831391916,64737775.0,258,2985
72043,264.67790264890937,48617537.0,307,3532
46029,485.39530608865675,356659572.0,1066,14130
37085,491.8566723908635,553649118.0,1524,21646
05029,487.0674713513329,170382371.0,469,6727
38095,386.42640194024534,14817778.0,109,737
48085,806.2677539103795,8004214258.0,11731,190913
56019,422.67974338625817,50775954.0,391,2310
13275,515.4452292636241,558716169.0,1185,20845
29059,375.3879486565624,54357176.0,282,2784
27057,482.29184866503215,154030030.0,595,6141
40039,453.1116047463562,207923098.0,839,8824
27157,519.0288699775888,177012893.0,614,6558
48443,715.9296762219014,2314362.0,26,62
51165,559.4553268508714,726382810.0,1337,24968
05027,523.9539225446106,245090101.0,678,8995
46027,352.35054777667114,60142715.0,335,3282
51680,636.201959704554,1511142522.0,2169,45678
54015,551.7988162460603,43941763.0,122,1531
29173,487.42248402129695,54806434.0,188,2162
22087,558.9637271704556,437900382.0,1253,15065
21139,432.9805537516972,36671288.0,155,1628
20041,415.1847454967706,150826792.0,579,6986
27137,613.5285305649605,2953050248.0,5696,92562
51127,449.6911356548857,57680383.0,322,2466
01105,431.8738562409913,50235423.0,162,2236
51590,477.7215509629096,586450339.0,1329,23607
34033,823.3199197135726,758853970.0,1285,17724
46067,391.27191376153104,49073193.0,222,2411
16061,391.87471245020475,20953149.0,147,1028
22027,480.21604615806285,68331702.0,281,2736
29135,428.15872265694225,79722726.0,335,3580
