FIPS_CODE,Weekly_Wage,Total_Wages,Establishment_Count,Employment_Level
13067,1002.7149597139972,15704744636.0,21406,301196
72135,350.2330549450549,42494944.0,338,2333
28113,574.1213069813189,414245938.0,1040,13875
06045,661.6632904600783,1018629974.0,4025,29605
28073,535.3873606542767,488529545.0,1304,17547
55079,925.2927793904078,22390331523.0,23040,465348
09011,989.3477133125643,5444860300.0,6935,105836
27063,641.8732347182339,168608759.0,359,5051
13241,533.7517539284327,121093150.0,487,4362
36091,839.6275894190906,3334944810.0,5532,76383
29115,590.274078570809,113440840.0,381,3695
46113,746.6179350341946,85481034.0,122,2201
24011,673.3816228754339,282178100.0,690,8058
21061,550.1626855710992,29128180.0,148,1018
29081,467.88543673985146,59243654.0,291,2435
08081,852.4897894206613,179393973.0,471,4046
31053,619.3694920499377,527044211.0,1186,16364
01015,710.4102876237596,1638699148.0,2459,44359
72139,317.53248571678597,152394636.0,574,9229
33011,1029.6954990743823,10087613777.0,11955,188398
26073,604.5903042117013,675934580.0,1348,21500
30031,716.3186766392765,1523500706.0,5327,40900
21029,606.1008833744227,585443349.0,1129,18575
36107,877.6879101553595,596895946.0,919,13078
20111,575.035442498459,418239570.0,901,13987
13047,615.8858821626866,422736063.0,916,13199
48329,1165.7808835010362,4824167614.0,4993,79579
72053,466.94487210752544,257212069.0,543,10593
40055,554.1137145102662,22561294.0,128,782
28035,697.4481764161523,1223949015.0,1913,33748
12093,603.4146671770258,296897113.0,977,9462
50025,736.230332656881,829699927.0,1922,21672
08121,663.0330316742082,32236666.0,143,935
22079,719.4222259347175,2026837110.0,3658,54179
38037,574.4056224383598,14902188.0,88,498
36121,645.05247584802,403091357.0,888,12017
05019,594.0700501596541,261585281.0,619,8467
51690,564.2124043690446,303475747.0,832,10343
40059,653.0556698203758,33339145.0,149,981
01073,952.7555429865937,16655157122.0,17639,336173
20159,603.7718435258499,118855305.0,337,3785
05053,592.2164159414385,93522619.0,322,3036
08029,636.6727233361165,272492530.0,873,8230
40051,674.0547446451548,425067460.0,1069,12127
51111,599.9028697199144,59236609.0,256,1898
20037,585.7275166935533,478061037.0,999,15695
13309,615.7384537369325,15785071.0,90,493
22031,716.6832574829014,193539597.0,509,5193
22127,628.0069704783791,152050745.0,370,4656
53055,605.7184669094981,160140454.0,939,5084
48191,432.60411504015286,14024016.0,125,623
01119,592.7918626781043,69978289.0,251,2270
21043,553.3401412939901,140331671.0,490,4877
04003,812.7240425713361,1515280903.0,2375,35854
39023,679.7608065162727,1692223289.0,2568,47873
20197,495.9154564028934,32928621.0,165,1276
27029,641.1399981755743,72626843.0,228,2178
20097,521.2605559208124,28542143.0,107,1053
72153,338.16032867385445,77082407.0,481,4383
20015,627.0229375022448,576109302.0,1373,17669
29061,452.2519987176147,30094054.0,220,1279
08005,1116.0417670768188,16468473025.0,19026,283772
21141,744.829096761148,268900435.0,569,6942
29121,539.799463060017,133038076.0,430,4739
