FIPS_CODE,Weekly_Wage,Total_Wages,Establishment_Count,Employment_Level
13067,539.43313798614815,99,1370,NA
C3654,365.28137254901964,116,1733,NA
72135,74.051292407108235,5,31,NA
39057,281.95468970380819,20,361,NA
28113,181.41878172588832,9,105,NA
30001,135.21046686746988,6,33,NA
06045,255.70905923344947,26,171,NA
28073,206.23235294117646,12,143,NA
C4222,513.47646717024986,94,849,NA
C4526,514.25,303,3455,NA
37145,172.50795053003534,8,79,NA
09011,422.34357848518113,34,505,NA
27063,132.57663316582915,5,47,NA
13241,144.17804154302669,7,51,NA
18015,137.19624999999999,6,52,NA
29115,125.37755905511811,6,39,NA
CS388,711.25,10185,186100,NA
46113,177.62618296529968,3,75,NA
24011,161.03095238095239,7,65,NA
25019,230.82196452933152,12,59,NA
21061,101.97300771208226,3,21,NA
29081,103.80838041431262,4,32,NA
08081,182.77228682170542,6,42,NA
31053,185.35710900473933,9,109,NA
01015,280.50123066104078,16,276,NA
19167,190.53154084798345,11,142,NA
26073,188.74691629955947,11,151,NA
30031,323.99526216045484,30,221,NA
C3638,583.25,1031,10407,NA
21029,168.86905940594059,10,107,NA
36107,185.04988465974625,9,109,NA
20111,174.76892822025565,8,103,NA
13047,173.68107344632767,9,121,NA
22000,592.34702241552361,375,5720,NA
72053,129.21022727272728,8,106,NA
C1446,601.20863052781738,590,8416,NA
C4630,542.0,3609,43718,NA
28035,269.60420133111484,14,212,NA
12093,177.84815789473683,9,72,NA
21225,150.70070422535213,4,52,NA
26119,105.26409185803757,5,24,NA
08121,99.868654822335031,3,14,NA
53075,168.0192926045016,12,83,NA
C4546,204.73560606060607,24,309,NA
C4794,167.72238061297222,28,362,NA
55101,328.01079734219269,25,384,NA
20137,98.287726358148888,3,27,NA
51690,150.66724336793541,7,86,NA
22051,475.25303643724698,63,834,NA
01073,503.70275207014123,83,1498,NA
20159,133.36003521126761,5,38,NA
05053,114.60895117540687,5,37,NA
46099,413.0585264408794,33,560,NA
20189,124.90164974619289,4,23,NA
51111,107.19171779141104,4,29,NA
51169,139.3812199036918,5,47,NA
C2710,263.13537626066716,20,284,NA
C2002,164.03495260663507,27,265,NA
C1542,536.0,1389,16630,NA
C4074,594.25,1717,22245,NA
39015,119.89825218476904,7,58,NA
40039,169.36437565582372,8,74,NA
CS164,601.0,4198,59152,NA
16043,135.32720588235293,6,30,NA
C2014,624.75,1285,21396,NA
53055,200.30623608017817,9,45,NA
39113,445.17623956799213,57,1071,NA
53000,706.2563259109312,671,9040,NA
01119,136.32101727447218,4,36,NA
C1786,178.8208927231808,31,326,NA
21043,146.47246065808298,6,51,NA
04003,274.49084709260586,16,219,NA
CS350,769.0,36975,644125,NA
39023,253.0066056910569,16,268,NA
C1474,346.11038719285182,43,391,NA
C3038,611.75,1069,15505,NA
27029,89.729729729729726,4,30,NA
20097,104.08840579710144,2,15,NA
C4086,677.25,2481,29129,NA
26013,108.35113421550095,4,33,NA
20015,202.45765027322403,11,116,NA
29061,101.60268817204302,4,20,NA
51079,148.38024193548387,5,27,NA
C1214,721.0,1004,19535,NA
21141,148.05555555555554,6,62,NA
29121,126.05731364275668,5,41,NA
C2134,363.76290603248259,69,1121,NA
54003,249.90466448445173,14,180,NA
C1076,592.0,1058,15542,NA
22107,104.49346793349169,3,14,NA
24037,261.90764331210192,16,288,NA
20043,142.38021978021979,4,32,NA
CS122,911.75,152916,2431542,NA
56043,167.69659239842727,5,33,NA
C2534,914.75,774,18670,NA
05109,132.90501968503938,5,31,NA
29169,194.09596774193548,8,115,NA
28051,154.02574257425744,5,52,NA
48461,152.84890109890111,3,31,NA
54081,292.82200976403578,16,196,NA
C4306,557.25,1299,21525,NA
C3542,588.5,2400,35746,NA
30083,160.46305248618785,6,46,NA
C1426,237.7751079913607,97,875,NA
21125,223.68858845096241,11,151,NA
C3510,672.25,3054,45992,NA
17011,165.58323831242873,9,85,NA
51073,195.21714579055441,9,63,NA
C3770,148.49232851985559,22,269,NA
48113,792.28330575093094,254,5347,NA
C1726,555.5,662,8735,NA
05099,99.084831460674152,4,30,NA
56005,303.94314079422384,14,197,NA
48173,159.6523178807947,3,10,NA
72999,215.67502850627139,9,25,NA
C3810,547.75,884,10416,NA
48449,190.22375846501129,6,114,NA
33011,540.0672413793103,58,882,NA
31147,114.14378478664193,4,27,NA
C1058,356.31010850942317,113,1524,NA
01095,219.90108346709471,14,232,NA
55139,280.59176587301585,22,452,NA
35039,162.13934850051706,7,81,NA
C1418,706.0,1256,19877,NA
53017,177.63618568232661,11,82,NA
48473,184.85062565172055,6,80,NA
C4046,538.0,949,14968,NA
51830,215.4946452476573,8,108,NA
31127,130.68326693227093,4,26,NA
36073,151.421970624235,8,109,NA
C3738,584.5,2225,17911,NA
42015,170.01237161531279,13,147,NA
51750,146.29992711370264,4,43,NA
42115,154.56150341685648,10,67,NA
C3714,700.25,3017,48175,NA
17111,388.36475409836066,44,478,NA
C3006,524.25,902,13834,NA
31129,108.52407407407408,4,19,NA
18047,144.40397923875432,5,51,NA
42093,132.24132947976878,5,102,NA
47143,186.34763513513514,5,81,NA
13295,156.91968085106382,7,100,NA
55053,114.66216216216216,6,78,NA
C3694,723.75,1046,21382,NA
26063,152.67965481171549,9,82,NA
15000,575.50044464206314,154,2445,NA
46053,119.1986143187067,4,22,NA
C1746,448.65504160548215,250,3686,NA
31161,118.57227488151659,4,28,NA
39999,603.51519423558898,65,294,NA
39041,339.91580478345185,24,346,NA
30095,151.47184300341297,5,29,NA
48353,160.61930199430199,5,55,NA
CS566,651.5,16585,258194,NA
28121,319.73226950354609,22,306,NA
08049,210.66256009615384,11,66,NA
72003,87.686081694402418,7,46,NA
C1518,268.45630749014452,37,573,NA
18029,171.90899689762151,9,94,NA
35047,147.29300458715596,6,56,NA
C4378,227.49711723254325,38,545,NA
C3970,613.5,342,3649,NA
C1390,183.0296153846154,25,274,NA
USNMS,701.0,1840877,20480319,NA
17013,117.79372937293729,3,17,NA
C1218,657.75,1815,26562,NA
16013,257.59928762243987,14,95,NA
17073,178.17400644468313,11,103,NA
18027,157.20054282267793,8,86,NA
C3362,553.25,695,10158,NA
42033,201.1579457364341,15,170,NA
CS318,782.25,15969,236269,NA
29091,177.11248872858431,9,96,NA
02280,85.699330783938819,2,13,NA
13179,207.64614614614615,8,120,NA
40095,114.57650501672241,4,42,NA
17193,161.41548672566373,6,54,NA
11000,767.24460533787624,173,3467,NA
13133,150.85688140556368,6,50,NA
19013,281.21770414993307,21,360,NA
31105,90.296539379474936,3,17,NA
36053,211.39449339207047,12,134,NA
C2802,214.89457831325302,39,560,NA
21207,126.53717201166181,5,51,NA
C1602,613.75,2927,45189,NA
30043,114.97388059701493,5,27,NA
C2122,902.75,1493,25825,NA
27101,138.05360360360359,5,30,NA
08014,339.48487467588592,15,190,NA
05003,148.22159841479524,7,63,NA
18037,225.60728155339805,11,202,NA
19113,399.4009209744504,33,587,NA
CS258,690.0,13953,268699,NA
CS266,750.25,28476,573018,NA
48423,371.77601674641147,28,449,NA
C1138,884.25,377,5439,NA
40055,84.969026548672559,3,15,NA
31005,48.332608695652176,1,1,NA
C4430,271.58190993788821,22,293,NA
20203,107.17318840579711,2,12,NA
47067,68.342479674796749,2,16,NA
19019,158.40501319261213,7,58,NA
36031,188.72684210526316,12,115,NA
72081,74.197452229299358,8,41,NA
C1298,259.5906301145663,18,315,NA
72099,69.413685152057241,7,40,NA
C4866,181.1265243902439,24,270,NA
53041,225.18300529901589,17,138,NA
C1882,706.0,897,15724,NA
39105,121.76752336448598,5,36,NA
39161,157.95157657657657,6,82,NA
C1142,551.75,1018,13934,NA
02013,222.6255707762557,4,29,NA
C4078,597.75,2260,33921,NA
C2486,238.74394606494221,77,1016,NA
16047,177.47349042709868,7,65,NA
20047,127.31671348314607,3,18,NA
48073,170.20386473429951,7,97,NA
30035,180.50951986754967,4,44,NA
47017,153.84087537091989,6,75,NA
36079,338.71640879478826,23,161,NA
51093,208.52088452088452,8,80,NA
C2774,156.95033860045146,24,330,NA
10001,221.69284225156358,23,235,NA
35027,167.07574974146846,8,52,NA
48315,103.29350220264317,3,23,NA
17173,142.96062407132243,6,51,NA
26155,173.01934097421204,10,98,NA
19035,150.95222701149424,5,46,NA
C2050,276.13956386292836,71,968,NA
C4494,195.01615798922802,15,204,NA
41037,125.13828828828829,4,26,NA
41009,171.70088408644401,10,70,NA
17039,165.30245901639344,6,51,NA
C4514,547.5,757,15195,NA
37181,175.77481323372464,9,111,NA
48339,478.44473539140023,40,567,NA
51057,139.35673234811165,5,39,NA
22101,266.72575516693166,11,161,NA
18043,256.23166104553121,13,173,NA
72147,105.05342465753425,3,17,NA
13223,221.47772045028142,15,141,NA
47185,118.22080291970804,5,51,NA
19191,171.09668989547038,7,74,NA
21235,152.6295782463929,7,80,NA
16087,131.40804140127389,5,27,NA
48319,93.503063725490193,3,14,NA
16027,258.66687539135881,25,264,NA
72113,161.55213089802132,18,267,NA
CS332,829.5,51701,917086,NA
19135,119.1691042047532,3,35,NA
48451,255.59548724656639,16,210,NA
48055,140.81450653983353,6,48,NA
30017,149.24240331491714,5,42,NA
